web-scraper-order,web-scraper-start-url,location-name,location-address-street,location-address-locality,location-address-region,location-address-postal-code,location-contact-phone-main,location-contact-url-main,location-contact-url-main-href,link-location-address-locality,link-location-address-locality-href,link-location-address-region,link-location-address-region-href
"1584541967-717","https://locations.dignityhealth.org/","Preoperative Testing & Laboratory","525 E Plaza Dr","Santa Maria","CA","93454","(855) 586-7660","Preoperative Testing & Laboratory","https://locations.dignityhealth.org/preoperative-testing-&-laboratory-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542118-1208","https://locations.dignityhealth.org/","Emergency Room - St. Joseph's Hospital and Medical Center","350 West Thomas Rd","null","AZ","85013","(602) 406-3000","Emergency Room - St. Joseph's Hospital and Medical Center","https://locations.dignityhealth.org/emergency-room-st-joseph's-hospital-and-medical-center-phoenix-az","Phoenix","https://locations.dignityhealth.org/phoenix-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542014-921","https://locations.dignityhealth.org/","Dignity Health Imaging","1102 E Clark Ave","Orcutt","CA","93455","(805) 332-8188","Dignity Health Imaging","https://locations.dignityhealth.org/dignity-health-imaging-orcutt-ca","Orcutt","https://locations.dignityhealth.org/orcutt-ca","California","https://locations.dignityhealth.org/california"
"1584541970-729","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican Oncology & Hematology","1595 Soquel Drive","Santa Cruz","CA","95065","(831) 427-7110","Dignity Health Medical Group - Dominican Oncology & Hematology","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-oncology-&-hematology-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584541940-608","https://locations.dignityhealth.org/","Dignity Health - St. Rose Dominican Hospital, North Las Vegas, NV Campus","1550 W Craig Rd","null","NV","89032","(702) 777-3615","Dignity Health - St. Rose Dominican Hospital, North Las Vegas, NV Campus","https://locations.dignityhealth.org/dignity-health-st-rose-dominican-hospital-north-las-vegas-nv-campus-north-las-vegas-nv","North Las Vegas","https://locations.dignityhealth.org/north-las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584542003-915","https://locations.dignityhealth.org/","Dignity Health Perinatal Center - Ventura","2901 N Ventura Rd","Oxnard","CA","93036","(805) 981-6163","Dignity Health Perinatal Center - Ventura","https://locations.dignityhealth.org/dignity-health-perinatal-center-ventura-oxnard-ca","Oxnard","https://locations.dignityhealth.org/oxnard-ca","California","https://locations.dignityhealth.org/california"
"1584541983-832","https://locations.dignityhealth.org/","Emergency Room - Mercy General Hospital","4001 J St","null","CA","95819","(916) 453-4545","Emergency Room - Mercy General Hospital","https://locations.dignityhealth.org/emergency-room-mercy-general-hospital-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584541967-702","https://locations.dignityhealth.org/","Marian Community Clinics - Santa Maria","117 W. Bunny Avenue","null","CA","93458","(805) 739-3890","Marian Community Clinics - Santa Maria","https://locations.dignityhealth.org/marian-community-clinics-santa-maria-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542018-946","https://locations.dignityhealth.org/","Trauma Center - Pediatric & Adult - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(855) 972-2066","Trauma Center - Pediatric & Adult - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/trauma-center-pediatric-&-adult-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584542038-997","https://locations.dignityhealth.org/","CARE Dental Clinic - St. Mary Medical Center - Long Beach","1027 Linden Ave C","Long Beach","CA","90813","(562) 624-4949","CARE Dental Clinic - St. Mary Medical Center - Long Beach","https://locations.dignityhealth.org/care-dental-clinic-st-mary-medical-center-long-beach-long-beach-ca","Long Beach","https://locations.dignityhealth.org/long-beach-ca","California","https://locations.dignityhealth.org/california"
"1584541967-701","https://locations.dignityhealth.org/","Marian Breast Imaging Center","1325 East Church Street","Santa Maria","CA","93454","(805) 346-3490","Marian Breast Imaging Center","https://locations.dignityhealth.org/marian-breast-imaging-center-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584541985-857","https://locations.dignityhealth.org/","Women’s Imaging Center, Roseville","1380 Lead Hill Blvd","Roseville","CA","95661","(916) 535-2030","Women’s Imaging Center, Roseville","https://locations.dignityhealth.org/women%E2%80%99s-imaging-center-roseville-roseville-ca","Roseville","https://locations.dignityhealth.org/roseville-ca","California","https://locations.dignityhealth.org/california"
"1584541967-689","https://locations.dignityhealth.org/","Coastal Valley Health Center","1510 East Main Street","Santa Maria","CA","93454","(805) 349-8514","Coastal Valley Health Center","https://locations.dignityhealth.org/coastal-valley-health-center-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584542044-1036","https://locations.dignityhealth.org/","Emergency Room - Sierra Nevada Memorial Hospital","155 Glasson Way","null","CA","95945","(530) 274-6000","Emergency Room - Sierra Nevada Memorial Hospital","https://locations.dignityhealth.org/emergency-room-sierra-nevada-memorial-hospital-grass-valley-ca","Grass Valley","https://locations.dignityhealth.org/grass-valley-ca","California","https://locations.dignityhealth.org/california"
"1584541979-804","https://locations.dignityhealth.org/","da Vinci Xi and Si Robotic Surgery - St. Bernardine Medical Center - San Bernardino","2101 N Waterman Ave","null","CA","92404","(800) 566-7262","da Vinci Xi and Si Robotic Surgery - St. Bernardine Medical Center - San Bernardino","https://locations.dignityhealth.org/da-vinci-xi-and-si-robotic-surgery-st-bernardine-medical-center-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542018-928","https://locations.dignityhealth.org/","Critical Care Medicine & ICU - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(844) 879-7242","Critical Care Medicine & ICU - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/critical-care-medicine-&-icu-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584542000-908","https://locations.dignityhealth.org/","Templeton Women's Health Center","350 Posada Lane","Templeton","CA","93465","(805) 434-5497","Templeton Women's Health Center","https://locations.dignityhealth.org/templeton-women's-health-center-templeton-ca","Paso Robles","https://locations.dignityhealth.org/dignity-health-laboratories-at-the-crossing-shopping-center-paso-robles-ca","California","https://locations.dignityhealth.org/california"
"1584541979-809","https://locations.dignityhealth.org/","Dignity Health Medical Group - Inland Empire","401 E. Highland Ave","San Bernardino","CA","92404","(909) 882-4605","Dignity Health Medical Group - Inland Empire","https://locations.dignityhealth.org/dignity-health-medical-group-inland-empire-san-bernardino-ca-MED_36","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542092-1154","https://locations.dignityhealth.org/","Dignity Health Laboratories","7635 El Camino Real","Atascadero","CA","93422","(855) 586-7660","Dignity Health Laboratories","https://locations.dignityhealth.org/dignity-health-laboratories-atascadero-ca","Atascadero","https://locations.dignityhealth.org/atascadero-ca","California","https://locations.dignityhealth.org/california"
"1584542137-1230","https://locations.dignityhealth.org/","Emergency Room at Arizona General Hospital - Glendale","5171 W Olive Ave","null","AZ","85302","(602) 900-4780","Emergency Room at Arizona General Hospital - Glendale","https://locations.dignityhealth.org/emergency-room-at-arizona-general-hospital-glendale-glendale-az","Glendale","https://locations.dignityhealth.org/glendale-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542025-960","https://locations.dignityhealth.org/","Siskiyou Home Health Services","317 Deetz Rd","null","CA","96067","(530) 926-4142","Siskiyou Home Health Services","https://locations.dignityhealth.org/siskiyou-home-health-services-mount-shasta-ca","Mount Shasta","https://locations.dignityhealth.org/mount-shasta-ca","California","https://locations.dignityhealth.org/california"
"1584541974-774","https://locations.dignityhealth.org/","Emergency Room - Saint Francis Memorial Hospital","900 Hyde St","null","CA","94109","(415) 353-6000","Emergency Room - Saint Francis Memorial Hospital","https://locations.dignityhealth.org/emergency-room-saint-francis-memorial-hospital-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542051-1059","https://locations.dignityhealth.org/","Dignity Health Medical Group - Inland Empire","17051 Sierra Lakes Parkway","Fontana","CA","92336","(909) 428-2040","Dignity Health Medical Group - Inland Empire","https://locations.dignityhealth.org/dignity-health-medical-group-inland-empire-fontana-ca","Fontana","https://locations.dignityhealth.org/fontana-ca","California","https://locations.dignityhealth.org/california"
"1584541979-813","https://locations.dignityhealth.org/","Health Education Center - Community Hospital of San Bernardino - San Bernardino","1725 Western Ave","San Bernardino","CA","92411","(909) 806-1816","Health Education Center - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/health-education-center-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542027-961","https://locations.dignityhealth.org/","Dignity Health Laboratories","246 Pacific St","null","CA","93442","(855) 586-7660","Dignity Health Laboratories","https://locations.dignityhealth.org/dignity-health-laboratories-morro-bay-ca","Morro Bay","https://locations.dignityhealth.org/morro-bay-ca","California","https://locations.dignityhealth.org/california"
"1584542033-977","https://locations.dignityhealth.org/","Dignity Health Laboratories","1352 Los Osos Valley Rd","Los Osos","CA","93402","(855) 586-7660","Dignity Health Laboratories","https://locations.dignityhealth.org/dignity-health-laboratories-los-osos-ca","Los Osos","https://locations.dignityhealth.org/los-osos-ca","California","https://locations.dignityhealth.org/california"
"1584542029-963","https://locations.dignityhealth.org/","Dignity Health - GoHealth Urgent Care Lombard","2395 Lombard St","null","CA","94123","(415) 796-2242","Dignity Health - GoHealth Urgent Care Lombard","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-lombard-san-francisco-ca","Mill Valley","https://locations.dignityhealth.org/dignity-health-gohealth-urgent-care-mill-valley-mill-valley-ca","California","https://locations.dignityhealth.org/california"
"1584542023-951","https://locations.dignityhealth.org/","Emergency Room - Mercy Medical Center Mt. Shasta","914 Pine St","null","CA","96067","(530) 926-6111","Emergency Room - Mercy Medical Center Mt. Shasta","https://locations.dignityhealth.org/emergency-room-mercy-medical-center-mt-shasta-mount-shasta-ca","Mt. Shasta","https://locations.dignityhealth.org/mercy-hospice-mt-shasta-mt-shasta-ca","California","https://locations.dignityhealth.org/california"
"1584542053-1063","https://locations.dignityhealth.org/","Internal Medicine - Mercy Medical Group - Folsom, CA","1561 Creekside Dr","Folsom","CA","95630","(916) 351-4825","Internal Medicine - Mercy Medical Group - Folsom, CA","https://locations.dignityhealth.org/internal-medicine-mercy-medical-group-folsom-ca-folsom-ca","Folsom","https://locations.dignityhealth.org/folsom-ca","California","https://locations.dignityhealth.org/california"
"1584542090-1141","https://locations.dignityhealth.org/","Emergency Room - Mercy Hospital Downtown","2215 Truxtun Ave","null","CA","93301","(661) 632-5000","Emergency Room - Mercy Hospital Downtown","https://locations.dignityhealth.org/emergency-room-mercy-hospital-downtown-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584542143-1247","https://locations.dignityhealth.org/","Dignity Health Medical Group Transitional Care - Chandler Regional","1727 W. Frye Rd.","Chandler","AZ","85224","(480) 728-7564","Dignity Health Medical Group Transitional Care - Chandler Regional","https://locations.dignityhealth.org/dignity-health-medical-group-transitional-care-chandler-regional-chandler-az","Chandler","https://locations.dignityhealth.org/chandler-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542090-1146","https://locations.dignityhealth.org/","Mercy Hospital Southwest - Bakersfield","400 Old River Road","null","CA","93311","(661) 663-6000","Mercy Hospital Southwest - Bakersfield","https://locations.dignityhealth.org/mercy-hospital-southwest-bakersfield-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584541963-674","https://locations.dignityhealth.org/","Templeton Women's Health Center","350 Posada Lane","Templeton","CA","93465","(805) 434-5497","Templeton Women's Health Center","https://locations.dignityhealth.org/templeton-women's-health-center-templeton-ca","Templeton","https://locations.dignityhealth.org/templeton-ca","California","https://locations.dignityhealth.org/california"
"1584542049-1056","https://locations.dignityhealth.org/","Stroke Program - Glendale Memorial Hospital and Health Center - Glendale","1420 S Central Ave","null","CA","91204","(818) 502-4557","Stroke Program - Glendale Memorial Hospital and Health Center - Glendale","https://locations.dignityhealth.org/stroke-program-glendale-memorial-hospital-and-health-center-glendale-glendale-ca","Glendale","https://locations.dignityhealth.org/glendale-ca","California","https://locations.dignityhealth.org/california"
"1584541942-613","https://locations.dignityhealth.org/","Dignity Health - St. Rose Dominican Hospital, San Martin Campus - Las Vegas, NV","8280 W Warm Springs Rd","null","NV","89113","(702) 492-8000","Dignity Health - St. Rose Dominican Hospital, San Martin Campus - Las Vegas, NV","https://locations.dignityhealth.org/dignity-health-st-rose-dominican-hospital-san-martin-campus-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584541979-814","https://locations.dignityhealth.org/","Inland Empire Heart & Vascular Institute - St. Bernardine Medical Center - San Bernardino","2101 N Waterman Ave","null","CA","92404","(909) 883-8711","Inland Empire Heart & Vascular Institute - St. Bernardine Medical Center - San Bernardino","https://locations.dignityhealth.org/inland-empire-heart-&-vascular-institute-st-bernardine-medical-center-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542018-944","https://locations.dignityhealth.org/","Stroke Center - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(844) 609-2764","Stroke Center - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/stroke-center-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584541994-896","https://locations.dignityhealth.org/","Emergency Room - St. Elizabeth Community Hospital","2550 Sister Mary Columba Dr","null","CA","96080","(530) 529-8000","Emergency Room - St. Elizabeth Community Hospital","https://locations.dignityhealth.org/emergency-room-st-elizabeth-community-hospital-red-bluff-ca","Red Bluff","https://locations.dignityhealth.org/red-bluff-ca","California","https://locations.dignityhealth.org/california"
"1584542090-1152","https://locations.dignityhealth.org/","Women's Center - Mercy Hospital Southwest","500 Old River Rd","Bakersfield","CA","93311","(661) 663-6429","Women's Center - Mercy Hospital Southwest","https://locations.dignityhealth.org/women's-center-mercy-hospital-southwest-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584541965-676","https://locations.dignityhealth.org/","Dignity Health Medical Group - Stockton","1901 North California Street","null","CA","95204","(209) 946-6800","Dignity Health Medical Group - Stockton","https://locations.dignityhealth.org/dignity-health-medical-group-stockton-stockton-ca-MED_57","Stockton","https://locations.dignityhealth.org/stockton-ca","California","https://locations.dignityhealth.org/california"
"1584541974-768","https://locations.dignityhealth.org/","Dignity Health Medical Group - Saint Francis/St. Mary's","2250 Hayes Street","San Francisco","CA","94117","(415) 379-2900","Dignity Health Medical Group - Saint Francis/St. Mary's","https://locations.dignityhealth.org/dignity-health-medical-group-saint-francis/st-mary's-san-francisco-ca-MED_45","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541983-853","https://locations.dignityhealth.org/","Outpatient Surgery","3941 J Street","null","CA","95819","(916) 453-4545","Outpatient Surgery","https://locations.dignityhealth.org/outpatient-surgery-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584542070-1097","https://locations.dignityhealth.org/","San Andreas Medical Clinic","702 Mountain Ranch Rd.","San Andreas","CA","95249","(209) 754-4564","San Andreas Medical Clinic","https://locations.dignityhealth.org/san-andreas-medical-clinic-san-andreas-ca","Copperopolis","https://locations.dignityhealth.org/copperopolis-medical-clinic-copperopolis-ca","California","https://locations.dignityhealth.org/california"
"1584542036-981","https://locations.dignityhealth.org/","Dignity Health - California Hospital Medical Center","1401 S. Grand Ave.","null","CA","90015","(213) 748-2411","Dignity Health - California Hospital Medical Center","https://locations.dignityhealth.org/dignity-health-california-hospital-medical-center-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541970-740","https://locations.dignityhealth.org/","Dominican Hospital Outpatient Rehabilitation Center","111 Madrone St","null","CA","95060","(831) 457-7057","Dominican Hospital Outpatient Rehabilitation Center","https://locations.dignityhealth.org/dominican-hospital-outpatient-rehabilitation-center-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
"1584542018-929","https://locations.dignityhealth.org/","da Vinci Si Robotic Surgery Department - Northridge Hospital Medical Center - Northridge","18300 Roscoe Blvd","null","CA","91325","(855) 972-2066","da Vinci Si Robotic Surgery Department - Northridge Hospital Medical Center - Northridge","https://locations.dignityhealth.org/da-vinci-si-robotic-surgery-department-northridge-hospital-medical-center-northridge-northridge-ca","Northridge","https://locations.dignityhealth.org/northridge-ca","California","https://locations.dignityhealth.org/california"
"1584542090-1151","https://locations.dignityhealth.org/","Urology and Stone Center","9500 Stockdale Hwy","Bakersfield","CA","93311","(661) 664-4455","Urology and Stone Center","https://locations.dignityhealth.org/urology-and-stone-center-bakersfield-ca","Bakersfield","https://locations.dignityhealth.org/bakersfield-ca","California","https://locations.dignityhealth.org/california"
"1584542000-909","https://locations.dignityhealth.org/","Dignity Health Home Health","4555 El Camino Real","Atascadero","CA","93422","(800) 549-9609","Dignity Health Home Health","https://locations.dignityhealth.org/dignity-health-home-health-atascadero-ca","Paso Robles","https://locations.dignityhealth.org/dignity-health-laboratories-at-the-crossing-shopping-center-paso-robles-ca","California","https://locations.dignityhealth.org/california"
"1584542055-1077","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican","2018 Mission Street","null","CA","95060","(831) 706-2220","Dignity Health Medical Group - Dominican","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-santa-cruz-ca-MED_28","Felton","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-felton-ca","California","https://locations.dignityhealth.org/california"
"1584542074-1109","https://locations.dignityhealth.org/","Mercy Medical Group - Carmichael Cardiology","6401 Coyle Ave.","Carmichael","CA","95608","(916) 966-3501","Mercy Medical Group - Carmichael Cardiology","https://locations.dignityhealth.org/mercy-medical-group-carmichael-cardiology-carmichael-ca","Carmichael","https://locations.dignityhealth.org/carmichael-ca","California","https://locations.dignityhealth.org/california"
"1584541957-663","https://locations.dignityhealth.org/","Dignity Health Medical Group - Ventura","1700 N. Rose Avenue","Oxnard","CA","93030","(805) 384-8071","Dignity Health Medical Group - Ventura","https://locations.dignityhealth.org/dignity-health-medical-group-ventura-oxnard-ca","Ventura","https://locations.dignityhealth.org/dignity-health-infusion-center-ventura-ventura-ca","California","https://locations.dignityhealth.org/california"
"1584541942-620","https://locations.dignityhealth.org/","Emergency Room - Dignity Health - St. Rose Dominican, Blue Diamond - Las Vegas, NV","4855 Blue Diamond Rd","null","NV","89139","(702) 216-7305","Emergency Room - Dignity Health - St. Rose Dominican, Blue Diamond - Las Vegas, NV","https://locations.dignityhealth.org/emergency-room-dignity-health-st-rose-dominican-blue-diamond-las-vegas-nv-las-vegas-nv","Las Vegas","https://locations.dignityhealth.org/las-vegas-nv","Nevada","https://locations.dignityhealth.org/nevada"
"1584541974-775","https://locations.dignityhealth.org/","Emergency Room - St. Mary’s Medical Center","450 Stanyan St","null","CA","94117","(415) 668-1000","Emergency Room - St. Mary’s Medical Center","https://locations.dignityhealth.org/emergency-room-st-mary%E2%80%99s-medical-center-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584542143-1243","https://locations.dignityhealth.org/","Dignity Health Home Recovery Care","1875 W. Frye Rd.","Chandler","AZ","85224","(602) 883-4646","Dignity Health Home Recovery Care","https://locations.dignityhealth.org/dignity-health-home-recovery-care-chandler-az","Chandler","https://locations.dignityhealth.org/chandler-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584542072-1099","https://locations.dignityhealth.org/","Family Medicine - Mercy Medical Group - Citrus Heights, CA","7115 Greenback Ln","Citrus Heights","CA","95621","(916) 536-3540","Family Medicine - Mercy Medical Group - Citrus Heights, CA","https://locations.dignityhealth.org/family-medicine-mercy-medical-group-citrus-heights-ca-citrus-heights-ca","Citrus Heights","https://locations.dignityhealth.org/citrus-heights-ca","California","https://locations.dignityhealth.org/california"
"1584541974-795","https://locations.dignityhealth.org/","Stonestown - Pediatrics","595 Buckingham Way","null","CA","94132","(415) 379-2020","Stonestown - Pediatrics","https://locations.dignityhealth.org/stonestown-pediatrics-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541981-824","https://locations.dignityhealth.org/","Emergency Room - Mark Twain Medical Center","768 Mountain Ranch Rd","null","CA","95249","(209) 754-3521","Emergency Room - Mark Twain Medical Center","https://locations.dignityhealth.org/emergency-room-mark-twain-medical-center-san-andreas-ca","San Andreas","https://locations.dignityhealth.org/san-andreas-ca","California","https://locations.dignityhealth.org/california"
"1584542049-1050","https://locations.dignityhealth.org/","Emergency Room - Glendale Memorial Hospital and Health Center","1420 S Central Ave","null","CA","91204","(818) 502-1900","Emergency Room - Glendale Memorial Hospital and Health Center","https://locations.dignityhealth.org/emergency-room-glendale-memorial-hospital-and-health-center-glendale-ca","Glendale","https://locations.dignityhealth.org/glendale-ca","California","https://locations.dignityhealth.org/california"
"1584542036-990","https://locations.dignityhealth.org/","Rehabilitation Department - California Hospital Medical Center - Los Angeles","1401 S Grand Ave","null","CA","90015","(888) 742-2462","Rehabilitation Department - California Hospital Medical Center - Los Angeles","https://locations.dignityhealth.org/rehabilitation-department-california-hospital-medical-center-los-angeles-los-angeles-ca","Los Angeles","https://locations.dignityhealth.org/los-angeles-ca","California","https://locations.dignityhealth.org/california"
"1584541974-789","https://locations.dignityhealth.org/","St. Mary's Medical Center Radiation Oncology Department","2250 Hayes Street","San Francisco","CA","94117","(415) 750-2906","St. Mary's Medical Center Radiation Oncology Department","https://locations.dignityhealth.org/st-mary's-medical-center-radiation-oncology-department-san-francisco-ca","San Francisco","https://locations.dignityhealth.org/san-francisco-ca","California","https://locations.dignityhealth.org/california"
"1584541967-693","https://locations.dignityhealth.org/","Dignity Health Perinatal Center – Santa Maria","116 Palisade Dr","Santa Maria","CA","93454","(805) 614-2095","Dignity Health Perinatal Center – Santa Maria","https://locations.dignityhealth.org/dignity-health-perinatal-center-%E2%80%93-santa-maria-santa-maria-ca","Santa Maria","https://locations.dignityhealth.org/santa-maria-ca","California","https://locations.dignityhealth.org/california"
"1584541983-847","https://locations.dignityhealth.org/","Mercy Medical Group - Timberlake, Primary and Specialty Care","8120 Timberlake Way","Sacramento","CA","95823","(916) 681-6000","Mercy Medical Group - Timberlake, Primary and Specialty Care","https://locations.dignityhealth.org/mercy-medical-group-timberlake-primary-and-specialty-care-sacramento-ca","Sacramento","https://locations.dignityhealth.org/sacramento-ca","California","https://locations.dignityhealth.org/california"
"1584542120-1216","https://locations.dignityhealth.org/","St. Joseph's Westgate Medical Center","7300 N 99th Ave","null","AZ","85307","(602) 406-0000","St. Joseph's Westgate Medical Center","https://locations.dignityhealth.org/st-joseph's-westgate-medical-center-glendale-az","Peoria","https://locations.dignityhealth.org/surgery-center-of-peoria-peoria-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541979-800","https://locations.dignityhealth.org/","Behavioral Health Services - Community Hospital of San Bernardino - San Bernardino","1805 Medical Center Dr","null","CA","92411","(909) 806-2306","Behavioral Health Services - Community Hospital of San Bernardino - San Bernardino","https://locations.dignityhealth.org/behavioral-health-services-community-hospital-of-san-bernardino-san-bernardino-san-bernardino-ca","San Bernardino","https://locations.dignityhealth.org/san-bernardino-ca","California","https://locations.dignityhealth.org/california"
"1584542095-1161","https://locations.dignityhealth.org/","Arroyo Grande Specialty Center - Orthopedics","850 Fair Oaks Ave","Arroyo Grande","CA","93420","(805) 473-0700","Arroyo Grande Specialty Center - Orthopedics","https://locations.dignityhealth.org/arroyo-grande-specialty-center-orthopedics-arroyo-grande-ca","Arroyo Grande","https://locations.dignityhealth.org/arroyo-grande-ca","California","https://locations.dignityhealth.org/california"
"1584541990-873","https://locations.dignityhealth.org/","Sequoia Hospital Heart and Vascular Institute","170 Alameda de las Pulgas","null","CA","94062","(650) 367-5203","Sequoia Hospital Heart and Vascular Institute","https://locations.dignityhealth.org/sequoia-hospital-heart-and-vascular-institute-redwood-city-ca","Redwood City","https://locations.dignityhealth.org/redwood-city-ca","California","https://locations.dignityhealth.org/california"
"1584542085-1131","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican","6215 Hwy 9","null","CA","95018","(831) 335-9111","Dignity Health Medical Group - Dominican","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-felton-ca","Boulder Creek","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-boulder-creek-ca","California","https://locations.dignityhealth.org/california"
"1584542120-1217","https://locations.dignityhealth.org/","Emergency Room - St. Joseph's Westgate Medical Center","7300 N 99th Ave","null","AZ","85307","(602) 406-0000","Emergency Room - St. Joseph's Westgate Medical Center","https://locations.dignityhealth.org/emergency-room-st-joseph's-westgate-medical-center-glendale-az","Peoria","https://locations.dignityhealth.org/surgery-center-of-peoria-peoria-az","Arizona","https://locations.dignityhealth.org/arizona"
"1584541994-891","https://locations.dignityhealth.org/","Dignity Health Medical Group - North State","2526 Sister Mary Columba Drive","null","CA","96080","(530) 528-6150","Dignity Health Medical Group - North State","https://locations.dignityhealth.org/dignity-health-medical-group-north-state-red-bluff-ca-MED_38","Red Bluff","https://locations.dignityhealth.org/red-bluff-ca","California","https://locations.dignityhealth.org/california"
"1584542099-1172","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican Urgent Care","1820 41st Avenue","Capitola","CA","95010","(831) 684-7611","Dignity Health Medical Group - Dominican Urgent Care","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-urgent-care-capitola-ca","Aptos","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-aptos-ca","California","https://locations.dignityhealth.org/california"
"1584542067-1093","https://locations.dignityhealth.org/","St. Elizabeth Community Hospital","2550 Sister Mary Columba Dr.","null","CA","96080","(530) 529-8000","St. Elizabeth Community Hospital","https://locations.dignityhealth.org/st-elizabeth-community-hospital-red-bluff-ca","Corning","https://locations.dignityhealth.org/dignity-health-solano-street-medical-clinic-corning-ca","California","https://locations.dignityhealth.org/california"
"1584541970-726","https://locations.dignityhealth.org/","Dignity Health Medical Group - Dominican Obstetrics & Gynecology Suite 1","1505 Soquel Drive","Santa Cruz","CA","95065","(831) 465-5440","Dignity Health Medical Group - Dominican Obstetrics & Gynecology Suite 1","https://locations.dignityhealth.org/dignity-health-medical-group-dominican-obstetrics-&-gynecology-suite-1-santa-cruz-ca","Santa Cruz","https://locations.dignityhealth.org/santa-cruz-ca","California","https://locations.dignityhealth.org/california"
